symbol,sumOpenInterest,sumOpenInterestValue,timestamp
BTCUSDT,90750.02300000,10784823483.34300000,2025-07-28 13:00:00
BTCUSDT,92007.47600000,10894734043.62640000,2025-07-28 14:00:00
BTCUSDT,91894.41000000,10840627327.20300000,2025-07-28 15:00:00
BTCUSDT,92296.15900000,10905591064.91790400,2025-07-28 16:00:00
BTCUSDT,92422.51700000,10905665663.38301500,2025-07-28 17:00:00
BTCUSDT,92108.19800000,10836529494.70000000,2025-07-28 18:00:00
BTCUSDT,91897.56300000,10821957399.91047100,2025-07-28 19:00:00
BTCUSDT,91981.83900000,10858708598.38283500,2025-07-28 20:00:00
BTCUSDT,91890.55300000,10847217970.36050000,2025-07-28 21:00:00
BTCUSDT,91841.17400000,10845356569.76863900,2025-07-28 22:00:00
BTCUSDT,91840.56500000,10822767701.29500000,2025-07-28 23:00:00
BTCUSDT,91809.74600000,10837393360.97950400,2025-07-29 00:00:00
BTCUSDT,91808.54300000,10828453242.74611300,2025-07-29 01:00:00
BTCUSDT,91723.08500000,10799356787.88950000,2025-07-29 02:00:00
BTCUSDT,91645.37500000,10820493701.13471600,2025-07-29 03:00:00
BTCUSDT,91478.22000000,10862471460.03600000,2025-07-29 04:00:00
BTCUSDT,91501.58300000,10842398616.56769400,2025-07-29 05:00:00
BTCUSDT,91639.38000000,10883642605.08000000,2025-07-29 06:00:00
BTCUSDT,91632.14000000,10878567660.80000000,2025-07-29 07:00:00
BTCUSDT,91531.76400000,10879126801.51320000,2025-07-29 08:00:00
BTCUSDT,91736.29800000,10906326649.36440000,2025-07-29 09:00:00
BTCUSDT,91640.87100000,10882353431.25000000,2025-07-29 10:00:00
BTCUSDT,91459.11700000,10817775212.84830000,2025-07-29 11:00:00
BTCUSDT,91522.30800000,10850916058.18781900,2025-07-29 12:00:00
BTCUSDT,90903.53800000,10806108912.21616200,2025-07-29 13:00:00
BTCUSDT,90673.33800000,10752951153.42000000,2025-07-29 14:00:00
BTCUSDT,89746.55700000,10570502052.60690000,2025-07-29 15:00:00
BTCUSDT,90532.42700000,10624110518.35358000,2025-07-29 16:00:00
BTCUSDT,91910.59100000,10818367328.95582600,2025-07-29 17:00:00
BTCUSDT,91491.16800000,10771183662.87782300,2025-07-29 18:00:00
BTCUSDT,91498.05800000,10756758612.95160100,2025-07-29 19:00:00
BTCUSDT,91577.15900000,10758933367.39910000,2025-07-29 20:00:00
BTCUSDT,91290.63600000,10723245435.36977000,2025-07-29 21:00:00
BTCUSDT,91244.25000000,10726780464.43397500,2025-07-29 22:00:00
BTCUSDT,91027.15900000,10723187746.93683000,2025-07-29 23:00:00
BTCUSDT,90965.94300000,10725260093.50965900,2025-07-30 00:00:00
BTCUSDT,90779.90100000,10684794347.70000000,2025-07-30 01:00:00
BTCUSDT,90915.12500000,10711147617.68769800,2025-07-30 02:00:00
BTCUSDT,91030.88800000,10739820432.98408700,2025-07-30 03:00:00
BTCUSDT,90916.46400000,10738358977.41318700,2025-07-30 04:00:00
BTCUSDT,90850.94300000,10715859641.75570000,2025-07-30 05:00:00
BTCUSDT,90917.38700000,10723773725.77298700,2025-07-30 06:00:00
BTCUSDT,90890.36400000,10746991142.44796200,2025-07-30 07:00:00
BTCUSDT,91057.89300000,10752407390.69760000,2025-07-30 08:00:00
BTCUSDT,90854.23100000,10751412813.33310000,2025-07-30 09:00:00
BTCUSDT,91004.09100000,10749985655.10240000,2025-07-30 10:00:00
BTCUSDT,91006.60800000,10736604686.06880000,2025-07-30 11:00:00
BTCUSDT,90278.07100000,10607655286.88580000,2025-07-30 12:00:00
BTCUSDT,90222.43200000,10618958114.05198000,2025-07-30 13:00:00
BTCUSDT,90315.52000000,10624496209.19575000,2025-07-30 14:00:00
BTCUSDT,90852.36200000,10782222043.61700000,2025-07-30 15:00:00
BTCUSDT,90215.69900000,10640598877.39380000,2025-07-30 16:00:00
BTCUSDT,90035.18700000,10596556281.18450000,2025-07-30 17:00:00
BTCUSDT,90142.06900000,10614048340.61200000,2025-07-30 18:00:00
BTCUSDT,91207.64600000,10623592983.14200000,2025-07-30 19:00:00
BTCUSDT,91825.43500000,10733800616.32079000,2025-07-30 20:00:00
BTCUSDT,91717.98300000,10743743638.83870000,2025-07-30 21:00:00
BTCUSDT,91709.15300000,10755649463.84000000,2025-07-30 22:00:00
BTCUSDT,91717.65700000,10771214043.87370000,2025-07-30 23:00:00
BTCUSDT,91480.68600000,10773947547.63163800,2025-07-31 00:00:00
BTCUSDT,91629.98000000,10846615210.38492600,2025-07-31 01:00:00
BTCUSDT,91718.25000000,10825064799.90000000,2025-07-31 02:00:00
BTCUSDT,91346.38000000,10815241520.82982000,2025-07-31 03:00:00
BTCUSDT,91063.69100000,10783334288.87230000,2025-07-31 04:00:00
BTCUSDT,91174.19100000,10801625225.82840000,2025-07-31 05:00:00
BTCUSDT,91345.82600000,10808028997.73740000,2025-07-31 06:00:00
BTCUSDT,91431.74100000,10849260781.39643300,2025-07-31 07:00:00
BTCUSDT,90766.04700000,10767031559.32800000,2025-07-31 08:00:00
BTCUSDT,90869.44700000,10773285742.86307500,2025-07-31 09:00:00
BTCUSDT,90935.35800000,10781514289.33920000,2025-07-31 10:00:00
BTCUSDT,90987.64000000,10779660562.59600000,2025-07-31 11:00:00
BTCUSDT,91067.34400000,10776317607.64659500,2025-07-31 12:00:00
BTCUSDT,91390.05700000,10837320724.82622100,2025-07-31 13:00:00
BTCUSDT,91422.01600000,10834387942.20215400,2025-07-31 14:00:00
BTCUSDT,91152.85200000,10744359855.65880000,2025-07-31 15:00:00
BTCUSDT,91258.63000000,10792582836.01905300,2025-07-31 16:00:00
BTCUSDT,91321.54400000,10821258321.45627000,2025-07-31 17:00:00
BTCUSDT,90934.54200000,10702531827.23580000,2025-07-31 18:00:00
BTCUSDT,90641.45200000,10660365621.56507100,2025-07-31 19:00:00
BTCUSDT,90512.92200000,10565294345.85563700,2025-07-31 20:00:00
BTCUSDT,90771.51500000,10570971222.77260400,2025-07-31 21:00:00
BTCUSDT,90741.38100000,10570235876.20986700,2025-07-31 22:00:00
BTCUSDT,90427.07300000,10484778854.20350000,2025-07-31 23:00:00
BTCUSDT,90242.85200000,10441293601.32336200,2025-08-01 00:00:00
BTCUSDT,89407.35100000,10315178691.93272400,2025-08-01 01:00:00
BTCUSDT,89835.63800000,10356827296.72320000,2025-08-01 02:00:00
BTCUSDT,90203.10400000,10455324520.60480000,2025-08-01 03:00:00
BTCUSDT,89838.59600000,10384948153.12051800,2025-08-01 04:00:00
BTCUSDT,90094.76000000,10419305832.90800000,2025-08-01 05:00:00
BTCUSDT,90237.28900000,10423500943.85555500,2025-08-01 06:00:00
BTCUSDT,90272.38700000,10391507230.25360000,2025-08-01 07:00:00
BTCUSDT,89619.96400000,10309747656.36398500,2025-08-01 08:00:00
BTCUSDT,89672.51600000,10275161497.59945900,2025-08-01 09:00:00
BTCUSDT,89842.49500000,10322040187.54800000,2025-08-01 10:00:00
BTCUSDT,89408.83000000,10254325535.34900000,2025-08-01 11:00:00
BTCUSDT,89297.41300000,10291527900.08333400,2025-08-01 12:00:00
BTCUSDT,89414.88900000,10343373361.63486900,2025-08-01 13:00:00
BTCUSDT,89537.61800000,10236996795.21014200,2025-08-01 14:00:00
BTCUSDT,89000.03100000,10285617882.62970000,2025-08-01 15:00:00
BTCUSDT,88760.97500000,10234610850.66750000,2025-08-01 16:00:00
BTCUSDT,88654.47100000,10192442026.26098300,2025-08-01 17:00:00
BTCUSDT,88399.66800000,10111887743.08440000,2025-08-01 18:00:00
BTCUSDT,88969.98500000,10125915594.06765000,2025-08-01 19:00:00
BTCUSDT,89134.65900000,10097031556.06560000,2025-08-01 20:00:00
BTCUSDT,89204.95000000,10160443805.00000000,2025-08-01 21:00:00
BTCUSDT,89099.36100000,10142527750.13790000,2025-08-01 22:00:00
BTCUSDT,88892.82000000,10053143113.92597000,2025-08-01 23:00:00
BTCUSDT,89004.23600000,10079258004.54920000,2025-08-02 00:00:00
BTCUSDT,89024.28600000,10127376449.56018000,2025-08-02 01:00:00
BTCUSDT,88865.51600000,10097018354.74273500,2025-08-02 02:00:00
BTCUSDT,88869.33100000,10099741747.09010000,2025-08-02 03:00:00
BTCUSDT,88929.35800000,10125561435.04214100,2025-08-02 04:00:00
BTCUSDT,89011.93500000,10144654627.17600000,2025-08-02 05:00:00
BTCUSDT,88986.40600000,10138141147.81460000,2025-08-02 06:00:00
BTCUSDT,88829.63000000,10095931597.65000000,2025-08-02 07:00:00
BTCUSDT,88741.31800000,10109552932.66880000,2025-08-02 08:00:00
BTCUSDT,88465.06800000,10053076174.40467600,2025-08-02 09:00:00
BTCUSDT,88211.26500000,10024319220.83653600,2025-08-02 10:00:00
BTCUSDT,87794.13000000,9965002490.34600000,2025-08-02 11:00:00
BTCUSDT,87774.34700000,9983016287.53445800,2025-08-02 12:00:00
BTCUSDT,87817.17900000,9975521586.08688200,2025-08-02 13:00:00
BTCUSDT,87660.02100000,9942283227.75241900,2025-08-02 14:00:00
BTCUSDT,87817.34500000,9930054616.52455300,2025-08-02 15:00:00
BTCUSDT,86485.29100000,9755411096.86350000,2025-08-02 16:00:00
BTCUSDT,86356.39700000,9771822179.68930000,2025-08-02 17:00:00
BTCUSDT,87334.43200000,9841656007.97760000,2025-08-02 18:00:00
BTCUSDT,86905.71300000,9758216674.77630000,2025-08-02 19:00:00
BTCUSDT,86187.30800000,9668104368.55400000,2025-08-02 20:00:00
BTCUSDT,85930.06200000,9688640269.51860000,2025-08-02 21:00:00
BTCUSDT,85730.46200000,9672065742.61364000,2025-08-02 22:00:00
BTCUSDT,85769.41800000,9675673775.40540000,2025-08-02 23:00:00
BTCUSDT,85730.24300000,9645489573.77301200,2025-08-03 00:00:00
BTCUSDT,85601.16300000,9665997096.74469200,2025-08-03 01:00:00
BTCUSDT,85801.90200000,9700758523.62885900,2025-08-03 02:00:00
BTCUSDT,85852.45200000,9741479076.44223600,2025-08-03 03:00:00
BTCUSDT,86240.05100000,9792853325.39305500,2025-08-03 04:00:00
BTCUSDT,86140.95500000,9770468908.11100000,2025-08-03 05:00:00
BTCUSDT,86092.17600000,9777692353.85948400,2025-08-03 06:00:00
BTCUSDT,86121.43100000,9775273240.44878800,2025-08-03 07:00:00
BTCUSDT,86075.40200000,9782219818.63420000,2025-08-03 08:00:00
BTCUSDT,85877.23200000,9759165933.98880000,2025-08-03 09:00:00
BTCUSDT,85884.33300000,9757516606.09590000,2025-08-03 10:00:00
BTCUSDT,85951.59100000,9785304346.41444800,2025-08-03 11:00:00
BTCUSDT,86111.87800000,9800818117.72108800,2025-08-03 12:00:00
BTCUSDT,86148.06800000,9817920767.50064500,2025-08-03 13:00:00
BTCUSDT,86062.95500000,9802303779.33950000,2025-08-03 14:00:00
BTCUSDT,86032.30400000,9785620509.20755600,2025-08-03 15:00:00
BTCUSDT,85987.36600000,9794422722.54453800,2025-08-03 16:00:00
BTCUSDT,85889.56300000,9787132881.76260000,2025-08-03 17:00:00
BTCUSDT,85876.09900000,9795792149.22110000,2025-08-03 18:00:00
BTCUSDT,85833.48700000,9813205235.13080000,2025-08-03 19:00:00
BTCUSDT,85477.84700000,9766621868.15770000,2025-08-03 20:00:00
BTCUSDT,85348.81800000,9761924686.62240000,2025-08-03 21:00:00
BTCUSDT,85298.26800000,9756313535.91840000,2025-08-03 22:00:00
BTCUSDT,85155.65800000,9730836467.52975700,2025-08-03 23:00:00
BTCUSDT,85207.63600000,9726528336.27240000,2025-08-04 00:00:00
BTCUSDT,84968.15000000,9759033861.88000000,2025-08-04 01:00:00
BTCUSDT,85056.82900000,9750727751.53620000,2025-08-04 02:00:00
BTCUSDT,85252.48400000,9783660125.12399100,2025-08-04 03:00:00
BTCUSDT,85227.38300000,9760607904.12165800,2025-08-04 04:00:00
BTCUSDT,85066.33200000,9726226077.23770100,2025-08-04 05:00:00
BTCUSDT,84884.24600000,9706045136.98519000,2025-08-04 06:00:00
BTCUSDT,84872.73200000,9707321847.72277800,2025-08-04 07:00:00
BTCUSDT,84995.35600000,9741062765.09200000,2025-08-04 08:00:00
BTCUSDT,85146.31200000,9748690758.34080000,2025-08-04 09:00:00
BTCUSDT,85207.67000000,9736936073.91000000,2025-08-04 10:00:00
BTCUSDT,85215.50100000,9731843248.64624800,2025-08-04 11:00:00
BTCUSDT,85125.16600000,9742824900.14774300,2025-08-04 12:00:00
BTCUSDT,85095.81900000,9734920746.47815700,2025-08-04 13:00:00
BTCUSDT,84939.37600000,9757166760.39816300,2025-08-04 14:00:00
BTCUSDT,84961.53700000,9743924320.84310000,2025-08-04 15:00:00
BTCUSDT,84931.48300000,9747979333.88708700,2025-08-04 16:00:00
BTCUSDT,85433.48300000,9846490846.24390000,2025-08-04 17:00:00
BTCUSDT,85272.31300000,9819430876.73940000,2025-08-04 18:00:00
BTCUSDT,85427.85300000,9818310130.03486600,2025-08-04 19:00:00
BTCUSDT,85482.56500000,9807420044.00281300,2025-08-04 20:00:00
BTCUSDT,85194.83900000,9776541391.36071800,2025-08-04 21:00:00
BTCUSDT,84999.93100000,9780253560.72890000,2025-08-04 22:00:00
BTCUSDT,85006.87200000,9799949233.02240000,2025-08-04 23:00:00
BTCUSDT,84829.51500000,9755572366.98150000,2025-08-05 00:00:00
BTCUSDT,84657.53700000,9721859905.23750000,2025-08-05 01:00:00
BTCUSDT,84535.04500000,9693456086.55550000,2025-08-05 02:00:00
BTCUSDT,84493.97900000,9689686749.56170000,2025-08-05 03:00:00
BTCUSDT,84244.05500000,9621934741.82500000,2025-08-05 04:00:00
BTCUSDT,83996.55600000,9599858572.00820400,2025-08-05 05:00:00
BTCUSDT,83984.33000000,9605615360.98700000,2025-08-05 06:00:00
BTCUSDT,84094.89800000,9598166768.85754400,2025-08-05 07:00:00
BTCUSDT,84402.83700000,9615567884.37390000,2025-08-05 08:00:00
BTCUSDT,84461.01000000,9648848262.49343500,2025-08-05 09:00:00
BTCUSDT,84506.47400000,9687608921.76134900,2025-08-05 10:00:00
BTCUSDT,84821.99200000,9737530752.80320000,2025-08-05 11:00:00
BTCUSDT,84781.02100000,9731453451.74258400,2025-08-05 12:00:00
BTCUSDT,84641.65100000,9640421659.78190000,2025-08-05 13:00:00
BTCUSDT,84842.75700000,9700128176.55261400,2025-08-05 14:00:00
BTCUSDT,85042.04400000,9608194847.41289700,2025-08-05 15:00:00
BTCUSDT,85459.37600000,9647752223.04701200,2025-08-05 16:00:00
BTCUSDT,85548.59000000,9678085139.94072300,2025-08-05 17:00:00
BTCUSDT,85048.08200000,9661368581.10627700,2025-08-05 18:00:00
BTCUSDT,85011.54400000,9656971352.22400000,2025-08-05 19:00:00
BTCUSDT,84949.90600000,9648040035.67787600,2025-08-05 20:00:00
BTCUSDT,84409.98300000,9593194567.95000000,2025-08-05 21:00:00
BTCUSDT,84383.44000000,9581293538.81758300,2025-08-05 22:00:00
BTCUSDT,84208.43900000,9592174865.64610000,2025-08-05 23:00:00
BTCUSDT,83848.53100000,9565232667.16235000,2025-08-06 00:00:00
BTCUSDT,83773.93500000,9536482870.16913800,2025-08-06 01:00:00
BTCUSDT,83905.08900000,9547467056.05474300,2025-08-06 02:00:00
BTCUSDT,83788.57000000,9517434741.15900000,2025-08-06 03:00:00
BTCUSDT,83797.33100000,9508491528.30310000,2025-08-06 04:00:00
BTCUSDT,83937.17200000,9517933252.83184800,2025-08-06 05:00:00
BTCUSDT,83683.85700000,9549022659.71310000,2025-08-06 06:00:00
BTCUSDT,83694.50400000,9544705364.06880000,2025-08-06 07:00:00
BTCUSDT,83905.93800000,9580422163.24829000,2025-08-06 08:00:00
BTCUSDT,83510.27100000,9511828217.92710000,2025-08-06 09:00:00
BTCUSDT,83713.56400000,9547490117.41800000,2025-08-06 10:00:00
BTCUSDT,83545.38500000,9526658465.95715000,2025-08-06 11:00:00
BTCUSDT,83336.83500000,9516087589.43884500,2025-08-06 12:00:00
BTCUSDT,83216.88200000,9475623415.94120000,2025-08-06 13:00:00
BTCUSDT,83788.45000000,9571311333.42232100,2025-08-06 14:00:00
BTCUSDT,83695.19200000,9637020292.78586200,2025-08-06 15:00:00
BTCUSDT,83846.73500000,9675061636.46109600,2025-08-06 16:00:00
BTCUSDT,83841.76800000,9649223316.46800000,2025-08-06 17:00:00
BTCUSDT,83830.61000000,9679543298.95500000,2025-08-06 18:00:00
BTCUSDT,84216.46800000,9716570497.95415000,2025-08-06 19:00:00
BTCUSDT,84097.65200000,9689512588.54374000,2025-08-06 20:00:00
BTCUSDT,83912.07500000,9651101943.19180300,2025-08-06 21:00:00
BTCUSDT,83778.06400000,9635348651.86560000,2025-08-06 22:00:00
BTCUSDT,83757.28800000,9635966082.43440000,2025-08-06 23:00:00
BTCUSDT,83762.85700000,9628139769.53499600,2025-08-07 00:00:00
BTCUSDT,83714.12800000,9614462039.82531500,2025-08-07 01:00:00
BTCUSDT,83617.58800000,9591356983.00246800,2025-08-07 02:00:00
BTCUSDT,83511.30200000,9564058026.63074300,2025-08-07 03:00:00
BTCUSDT,83419.44300000,9551592959.05440000,2025-08-07 04:00:00
BTCUSDT,83348.61300000,9527616517.51910600,2025-08-07 05:00:00
BTCUSDT,82949.24600000,9500168849.45540000,2025-08-07 06:00:00
BTCUSDT,83072.59300000,9520368375.57900000,2025-08-07 07:00:00
BTCUSDT,83235.51200000,9551349913.96080000,2025-08-07 08:00:00
BTCUSDT,83617.57900000,9608771940.90070000,2025-08-07 09:00:00
BTCUSDT,83813.20400000,9640236630.68200000,2025-08-07 10:00:00
BTCUSDT,84792.92300000,9861525075.84640700,2025-08-07 11:00:00
BTCUSDT,84804.34100000,9877076791.92900000,2025-08-07 12:00:00
